name,category,row_id,ingredient_number,ingredient,measure,measure_number
Carrol Cocktail,Cocktail Classics,143,1,brandy,1.5 oz,1.5
Carrol Cocktail,Cocktail Classics,143,2,sweet vermouth,.75 oz,0.75
Button Hook Cocktail,Cocktail Classics,144,2,apricot flavored brandy,.5 oz,0.5
Button Hook Cocktail,Cocktail Classics,144,3,anisette,.5 oz,0.5
Button Hook Cocktail,Cocktail Classics,144,4,brandy,.5 oz,0.5
Bull's Eye,Cocktail Classics,145,1,brandy,1 oz,1
Brantini,Cocktail Classics,146,1,brandy,1.5 oz,1.5
Brantini,Cocktail Classics,146,2,gin,1 oz,1
Brantini,Cocktail Classics,146,3,dry vermouth,1 oz,1
Heather's Kiss,Whiskies,147,1,blended scotch whiskey,2.25 oz,2.25
Heather's Kiss,Whiskies,147,2,lemon juice,.5 oz,0.5
Brandy Squirt,Cocktail Classics,148,1,brandy,1.5 oz,1.5
Brandy Squirt,Cocktail Classics,148,2,powdered sugar,1 oz,1
Brandy Squirt,Cocktail Classics,148,3,grenadine,1 oz,1
Brandy and Soda,Cocktail Classics,149,1,brandy,2 oz,2
Brandy Milk Punch,Cocktail Classics,150,1,powdered sugar,1 oz,1
Brandy Milk Punch,Cocktail Classics,150,2,brandy,2 oz,2
Vodka Collins,Vodka,151,1,vodka,2 oz,2
Vodka Collins,Vodka,151,2,lemon juice,.75 oz,0.75
Vodka Collins,Vodka,151,3,simple syrup,.75 oz,0.75
Brandy Crusta Cocktail,Cocktail Classics,152,1,maraschino,1 oz,1
Brandy Crusta Cocktail,Cocktail Classics,152,2,bitters,1 dash,0.02
Brandy Crusta Cocktail,Cocktail Classics,152,3,lemon juice,1 oz,1
Brandy Crusta Cocktail,Cocktail Classics,152,4,triple sec,.5 oz,0.5
Brandy Crusta Cocktail,Cocktail Classics,152,5,brandy,2 oz,2
Heather Blush,Whiskies,153,1,blended scotch whiskey,1 oz,1
Jack Maples,Brandy,154,3,bitters,1 dash,0.02
Brandy Alexander,Cocktail Classics,155,2,brandy,.5 oz,0.5
Vodka and Tonic,Vodka,156,1,vodka,2 oz,2
Apricot Cocktail,Cocktail Classics,157,1,lemon juice,.25 oz,0.25
Apricot Cocktail,Cocktail Classics,157,2,orange juice,.25 oz,0.25
Apricot Cocktail,Cocktail Classics,157,3,apricot flavored brandy,1.5 oz,1.5
Apricot Cocktail,Cocktail Classics,157,4,gin,1 oz,1
Alexander Cocktail No. 2,Cocktail Classics,158,2,brandy,1 oz,1
Alexander Cocktail No. 2,Cocktail Classics,158,3,light cream,1 oz,1
After Dinner Cocktail,Cocktail Classics,159,1,apricot flavored brandy,1 oz,1
After Dinner Cocktail,Cocktail Classics,159,2,triple sec,1 oz,1
After Dinner Cocktail,Cocktail Classics,159,3,lime juice,1 oz,1
Harvest Moon,Whiskies,160,1,straight rye whiskey,1.5 oz,1.5
Harvest Moon,Whiskies,160,3,apple brandy,.5 oz,0.5
Harvest Moon,Whiskies,160,5,bitters,2 dash,0.04
Red Raider,Cocktail Classics,161,2,triple sec,.5 oz,0.5
Red Raider,Cocktail Classics,161,3,lemon juice,1 oz,1
Red Raider,Cocktail Classics,161,4,grenadine,1 oz,1
Vodka and Apple Juice,Vodka,162,1,vodka,2 oz,2
Mint Julep (Southern Style),Cocktail Classics,163,2,powdered sugar,1 oz,1
Grounds For Divorce,Whiskies,165,1,straight rye whiskey,1.5 oz,1.5
Gentleman's Cocktail,Cocktail Classics,166,2,brandy,.5 oz,0.5
Dixie Julep,Cocktail Classics,167,1,powdered sugar,1 oz,1
Victory Collins,Vodka,168,1,vodka,1.5 oz,1.5
Victory Collins,Vodka,168,3,lemon juice,1 oz,1
Victory Collins,Vodka,168,4,simple syrup,.5 oz,0.5
Bourbon Cobbler,Cocktail Classics,171,2,lemon juice,1 oz,1
Bourbon Cobbler,Cocktail Classics,171,3,grapefruit juice,2 oz,2
Greenpoint,Whiskies,173,1,straight rye whiskey,2 oz,2
Greenpoint,Whiskies,173,3,sweet vermouth,.5 oz,0.5
Greenpoint,Whiskies,173,4,bitters,1 dash,0.02
Yellowjacket,Non-alcoholic Drinks,174,1,pineapple juice,2 oz,2
Yellowjacket,Non-alcoholic Drinks,174,2,orange juice,2 oz,2
Yellowjacket,Non-alcoholic Drinks,174,3,lemon juice,.5 oz,0.5
Velvet Peach Hammer,Vodka,175,1,vodka,1.75 oz,1.75
Velvet Peach Hammer,Vodka,175,3,simple syrup,.25 oz,0.25
Velvet Peach Hammer,Vodka,175,4,lemon juice,.5 oz,0.5
Grandfather,Whiskies,176,1,bourbon whiskey,1 oz,1
Grandfather,Whiskies,176,3,sweet vermouth,1 oz,1
Grandfather,Whiskies,176,4,bitters,1 dash,0.02
Goldrush,Whiskies,177,1,bourbon whiskey,2 oz,2
Goldrush,Whiskies,177,2,lemon juice,.75 oz,0.75
Godfather,Whiskies,179,1,blended scotch whiskey,1.5 oz,1.5
Godfather,Whiskies,179,2,amaretto,.75 oz,0.75
Jack-In-The-Box,Brandy,180,2,pineapple juice,1 oz,1
Jack-In-The-Box,Brandy,180,3,bitters,1 dash,0.02
Saronno,Cocktail Classics,181,3,light cream,1 oz,1
Saronno Rose,Cocktail Classics,184,2,lime juice,.5 oz,0.5
Gilchrist,Whiskies,185,1,blended scotch whiskey,1.5 oz,1.5
Gilchrist,Whiskies,185,3,grapefruit juice,.75 oz,0.75
Gilchrist,Whiskies,185,5,bitters,2 dash,0.04
Frisco Sour,Whiskies,186,2,lemon juice,.75 oz,0.75
Frisco Sour,Whiskies,186,3,lime juice,.5 oz,0.5
Frisco Sour,Whiskies,186,4,benedictine,.5 oz,0.5
Fratelli Cocktail,Whiskies,187,1,straight rye whiskey,2 oz,2
Fratelli Cocktail,Whiskies,187,2,sweet vermouth,.5 oz,0.5
Francis The Mule,Whiskies,188,1,bourbon whiskey,2 oz,2
Francis The Mule,Whiskies,188,3,lemon juice,.5 oz,0.5
Francis The Mule,Whiskies,188,5,bitters,2 dash,0.04
Fox River Cocktail,Whiskies,189,3,bitters,4 dash,0.08
Flying Scotchman,Whiskies,190,1,blended scotch whiskey,1 oz,1
Flying Scotchman,Whiskies,190,2,sweet vermouth,1 oz,1
Flying Scotchman,Whiskies,190,3,bitters,1 dash,0.02
Flying Scotchman,Whiskies,190,4,simple syrup,.25 oz,0.25
The Final Ward,Whiskies,191,1,straight rye whiskey,.75 oz,0.75
The Final Ward,Whiskies,191,2,maraschino,.75 oz,0.75
The Final Ward,Whiskies,191,4,lemon juice,.75 oz,0.75
Martini,Cocktail Classics,192,2,dry vermouth,.75 oz,0.75
Fancy Whiskey,Whiskies,193,2,bitters,1 dash,0.02
Fancy Whiskey,Whiskies,193,3,triple sec,.25 oz,0.25
Fancy Whiskey,Whiskies,193,4,simple syrup,.25 oz,0.25
Fancy Whiskey,Whiskies,193,5,lemon juice,1 oz,1
Mandarine Sour,Cocktail Classics,194,2,lemon juice,1 oz,1
Underneath The Mango Tree,Vodka,196,5,simple syrup,.5 oz,0.5
Fancy-Free Cocktail,Whiskies,197,1,bourbon whiskey,2 oz,2
Fancy-Free Cocktail,Whiskies,197,2,maraschino,.5 oz,0.5
Fancy-Free Cocktail,Whiskies,197,3,bitters,1 dash,0.02
Honeymoon Cocktail,Brandy,198,1,apple brandy,.75 oz,0.75
Honeymoon Cocktail,Brandy,198,2,benedictine,.75 oz,0.75
Honeymoon Cocktail,Brandy,198,3,lemon juice,.75 oz,0.75
Honeymoon Cocktail,Brandy,198,4,triple sec,.5 oz,0.5
Twister,Vodka,199,1,vodka,2 oz,2
Twister,Vodka,199,2,lime juice,.5 oz,0.5
Trident,Vodka,201,4,bitters,2 dash,0.04
Top Banana,Vodka,202,1,vodka,1 oz,1
Top Banana,Vodka,202,3,orange juice,2 oz,2
Emperor Norton's Mistress,Whiskies,203,2,bourbon whiskey,1.5 oz,1.5
Emperor Norton's Mistress,Whiskies,203,4,triple sec,.25 oz,0.25
Easterner,Whiskies,204,1,straight rye whiskey,2 oz,2
Easterner,Whiskies,204,2,grapefruit juice,1 oz,1
Toasted Drop,Vodka,205,2,citrus flavored vodka,1.5 oz,1.5
Toasted Drop,Vodka,205,4,amaretto,.25 oz,0.25
Toasted Drop,Vodka,205,6,egg white,1 oz,1
Eastern Sour,Whiskies,206,1,bourbon whiskey,2 oz,2
Eastern Sour,Whiskies,206,2,orange juice,1.5 oz,1.5
Eastern Sour,Whiskies,206,3,lime juice,1 oz,1
Eastern Sour,Whiskies,206,5,simple syrup,.25 oz,0.25
K. C. B. Cocktail,Cocktail Classics,207,4,lemon juice,.25 oz,0.25
Easter Elchies,Whiskies,208,4,bitters,1 dash,0.02
Dufftown Flip,Whiskies,209,1,blended scotch whiskey,2 oz,2
Dufftown Flip,Whiskies,209,2,port,.5 oz,0.5
Dufftown Flip,Whiskies,209,5,whole egg,1 oz,1
Harvard Cooler,Brandy,210,1,apple brandy,2 oz,2
Harvard Cooler,Brandy,210,2,simple syrup,.5 oz,0.5
The Duboudreau Cocktail,Whiskies,211,1,straight rye whiskey,2 oz,2
Irish Whisky,Cocktail Classics,212,3,maraschino,.25 oz,0.25
Irish Whisky,Cocktail Classics,212,4,bitters,1 dash,0.02
Dubliner,Whiskies,213,2,sweet vermouth,.5 oz,0.5
Dubliner,Whiskies,213,4,bitters,2 dash,0.04
Double Standard Sour,Whiskies,214,2,gin,.75 oz,0.75
Double Standard Sour,Whiskies,214,3,lemon juice,1 oz,1
Double Standard Sour,Whiskies,214,5,grenadine,.5 oz,0.5
Double Standard Sour,Whiskies,214,6,simple syrup,.25 oz,0.25
Dixie Whiskey Cocktail,Whiskies,215,1,bourbon whiskey,2 oz,2
Dixie Whiskey Cocktail,Whiskies,215,3,triple sec,.5 oz,0.5
Dixie Whiskey Cocktail,Whiskies,215,4,simple syrup,.25 oz,0.25
Dixie Whiskey Cocktail,Whiskies,215,5,bitters,1 dash,0.02
The Titian,Vodka,217,1,orange juice,1 oz,1
The Titian,Vodka,217,4,lime juice,.5 oz,0.5
Tiger Tanaka,Vodka,218,3,citrus flavored vodka,2 oz,2
Tiger Tanaka,Vodka,218,5,pineapple juice,.75 oz,0.75
Grenadine Rickey,Cocktail Classics,219,1,lime juice,.5 oz,0.5
Grenadine Rickey,Cocktail Classics,219,2,grenadine,1.5 oz,1.5
Thyme Collins,Vodka,220,1,citrus flavored vodka,2 oz,2
Thyme Collins,Vodka,220,3,lemon juice,1 oz,1
Tabby Cat,Vodka,221,2,orange juice,1 oz,1
Tabby Cat,Vodka,221,3,bitters,2 dash,0.04
Sweet Maria,Vodka,223,1,vodka,1 oz,1
Sweet Maria,Vodka,223,2,amaretto,.5 oz,0.5
Sweet Maria,Vodka,223,3,half and half,.5 oz,0.5
Dirty Harry,Whiskies,224,2,straight rye whiskey,2 oz,2
Dirty Harry,Whiskies,224,3,sweet vermouth,.5 oz,0.5
Dirty Harry,Whiskies,224,4,maraschino,.25 oz,0.25
Harvard Cocktail,Brandy,225,1,brandy,1.5 oz,1.5
Harvard Cocktail,Brandy,225,2,sweet vermouth,.75 oz,0.75
Harvard Cocktail,Brandy,225,3,lemon juice,.5 oz,0.5
Harvard Cocktail,Brandy,225,4,grenadine,1 oz,1
Harvard Cocktail,Brandy,225,5,bitters,1 dash,0.02
Gin and Milk Punch,Cocktail Classics,226,1,powdered sugar,1 oz,1
Surf Rider,Vodka,227,1,vodka,2 oz,2
Surf Rider,Vodka,227,2,sweet vermouth,.5 oz,0.5
Surf Rider,Vodka,227,3,orange juice,2 oz,2
Surf Rider,Vodka,227,4,lemon juice,.5 oz,0.5
Surf Rider,Vodka,227,5,grenadine,.25 oz,0.25
Dinah Cocktail,Whiskies,228,1,bourbon whiskey,1.5 oz,1.5
Dinah Cocktail,Whiskies,228,2,lemon juice,.75 oz,0.75
Dinah Cocktail,Whiskies,228,3,simple syrup,.5 oz,0.5
The Summer Of Love,Vodka,230,1,orange juice,2 oz,2
Devil's Soul,Whiskies,231,1,straight rye whiskey,1.5 oz,1.5
Deshler,Whiskies,232,1,straight rye whiskey,1.5 oz,1.5
Deshler,Whiskies,232,3,triple sec,.25 oz,0.25
Deshler,Whiskies,232,4,bitters,2 dash,0.04
Stupid Cupid,Vodka,234,1,citrus flavored vodka,2 oz,2
Stupid Cupid,Vodka,234,3,simple syrup,1 oz,1
Stupid Cupid,Vodka,234,4,lemon juice,1 oz,1
Derby,Whiskies,235,1,bourbon whiskey,2 oz,2
Derby,Whiskies,235,2,benedictine,.25 oz,0.25
Derby,Whiskies,235,3,bitters,1 dash,0.02
Stockholm 75,Vodka,236,2,citrus flavored vodka,.75 oz,0.75
Stockholm 75,Vodka,236,3,simple syrup,.75 oz,0.75
The Delmarva Cocktail,Whiskies,237,1,straight rye whiskey,2 oz,2
The Delmarva Cocktail,Whiskies,237,2,dry vermouth,.5 oz,0.5
The Delmarva Cocktail,Whiskies,237,4,lemon juice,.5 oz,0.5
Sputnik,Vodka,238,1,vodka,1.25 oz,1.25
Sputnik,Vodka,238,3,orange juice,3 oz,3
Sputnik,Vodka,238,4,half and half,3 oz,3
Gotham,Brandy,239,2,brandy,3 oz,3
Gotham,Brandy,239,3,bitters,3 dash,0.06
De La Louisiane,Whiskies,240,1,straight rye whiskey,.75 oz,0.75
De La Louisiane,Whiskies,240,2,sweet vermouth,.75 oz,0.75
De La Louisiane,Whiskies,240,3,benedictine,.75 oz,0.75
De La Louisiane,Whiskies,240,5,bitters,3 dash,0.06
Soviet,Vodka,242,1,vodka,1.5 oz,1.5
Soviet,Vodka,242,3,dry vermouth,.5 oz,0.5
Daisy Dueller,Whiskies,243,2,lemon juice,.75 oz,0.75
Daisy Dueller,Whiskies,243,3,simple syrup,.75 oz,0.75
Daisy Dueller,Whiskies,243,4,triple sec,.5 oz,0.5
Sonic Blaster,Vodka,244,1,vodka,.5 oz,0.5
Sonic Blaster,Vodka,244,2,light rum,.5 oz,0.5
Sonic Blaster,Vodka,244,4,pineapple juice,1 oz,1
Sonic Blaster,Vodka,244,5,orange juice,1 oz,1
Sonic Blaster,Vodka,244,6,cranberry juice,1 oz,1
Creole Lady,Whiskies,245,1,bourbon whiskey,1.5 oz,1.5
Creole Lady,Whiskies,245,3,grenadine,1 oz,1
Rum Coooler,Cocktail Classics,246,1,powdered sugar,.5 tsp,0.5
Siberian Sleighride,Vodka,247,1,vodka,1.25 oz,1.25
Siberian Sleighride,Vodka,247,2,white creme de cacao,.75 oz,0.75
Siberian Sleighride,Vodka,247,4,half and half,3 oz,3
Cotton Club Flip,Whiskies,248,3,lime juice,.75 oz,0.75
Cotton Club Flip,Whiskies,248,4,egg white,1 oz,1
Cotton Club Flip,Whiskies,248,5,bitters,2 dash,0.04
Golden Dawn,Brandy,249,1,apple brandy,1 oz,1
Golden Dawn,Brandy,249,2,apricot flavored brandy,.5 oz,0.5
Golden Dawn,Brandy,249,3,gin,.5 oz,0.5
Golden Dawn,Brandy,249,4,orange juice,1 oz,1
Golden Dawn,Brandy,249,5,grenadine,1 oz,1
Sidecar,Cocktail Classics,250,2,triple sec,1 oz,1
Sidecar,Cocktail Classics,250,3,lemon juice,.5 oz,0.5
Sidecar,Cocktail Classics,250,4,vodka,1.5 oz,1.5
Sidecar,Cocktail Classics,250,6,orange juice,.5 oz,0.5
Shalom,Vodka,251,1,vodka,1.5 oz,1.5
Shalom,Vodka,251,3,orange juice,.5 oz,0.5
Shalom,Vodka,251,4,bourbon whiskey,2 oz,2
Shalom,Vodka,251,5,white creme de cacao,.75 oz,0.75
Shalom,Vodka,251,6,lemon juice,.5 oz,0.5
Commodore Cocktail,Whiskies,252,1,bourbon whiskey,2 oz,2
Commodore Cocktail,Whiskies,252,2,white creme de cacao,.75 oz,0.75
Commodore Cocktail,Whiskies,252,3,lemon juice,.5 oz,0.5
Commodore Cocktail,Whiskies,252,4,grenadine,1 oz,1
Sea Breeze,Vodka,253,1,vodka,1.5 oz,1.5
Sea Breeze,Vodka,253,2,cranberry juice,4 oz,4
Sea Breeze,Vodka,253,3,grapefruit juice,1 oz,1
Screwdriver,Vodka,254,1,vodka,1.5 oz,1.5
Screwdriver,Vodka,254,2,orange juice,5 oz,5
Coffee Old-Fashioned,Whiskies,255,1,bourbon whiskey,2 oz,2
Coffee Old-Fashioned,Whiskies,255,2,simple syrup,.75 oz,0.75
Coffee Old-Fashioned,Whiskies,255,3,bitters,2 dash,0.04
Dry Martini,Cocktail Classics,256,2,dry vermouth,1/3 oz,1
Salty Dog,Vodka,257,2,vodka,1.5 oz,1.5
Salty Dog,Vodka,257,3,grapefruit juice,5 oz,5
Dr. Cook,Cocktail Classics,258,2,lemon juice,1 oz,1
Dr. Cook,Cocktail Classics,258,3,maraschino,1 oz,1
Dr. Cook,Cocktail Classics,258,4,egg white,1 oz,1
Dillatini Cocktail,Cocktail Classics,259,2,dry vermouth,.75 oz,0.75
Chi-Town Flip,Whiskies,260,1,bourbon whiskey,2 oz,2
Chi-Town Flip,Whiskies,260,3,lemon juice,.75 oz,0.75
Chi-Town Flip,Whiskies,260,5,simple syrup,.25 oz,0.25
Chef's Pain,Vodka,261,1,bourbon whiskey,2 oz,2
Chef's Pain,Vodka,261,2,lime juice,.75 oz,0.75
Sampan Shipwreck A,Vodka,262,1,vodka,1.5 oz,1.5
Sampan Shipwreck A,Vodka,262,2,orange juice,.5 oz,0.5
Chas,Whiskies,263,1,bourbon whiskey,1.5 oz,1.5
Chas,Whiskies,263,2,amaretto,.25 oz,0.25
Chas,Whiskies,263,3,benedictine,.25 oz,0.25
Chas,Whiskies,263,4,triple sec,.25 oz,0.25
Chas,Whiskies,263,5,orange juice,.25 oz,0.25
Goat's Delight,Brandy,264,1,brandy,1 oz,1
Goat's Delight,Brandy,264,3,half and half,.25 oz,0.25
Russian Bear Cocktail,Vodka,265,1,vodka,1 oz,1
Russian Bear Cocktail,Vodka,265,2,white creme de cacao,.5 oz,0.5
Russian Bear Cocktail,Vodka,265,3,half and half,.5 oz,0.5
Character Development,Whiskies,266,4,bitters,2 dash,0.04
Ruby Red,Vodka,267,1,grapefruit juice,2 oz,2
Ruby Red,Vodka,267,2,triple sec,1.5 oz,1.5
Ruby Red,Vodka,267,4,orange juice,1 oz,1
Chaplin,Whiskies,268,1,bourbon whiskey,.75 oz,0.75
Chaplin,Whiskies,268,4,triple sec,1 oz,1
Chaplin,Whiskies,268,5,bitters,2 dash,0.04
Rouxby Red,Vodka,269,2,grapefruit juice,1.5 oz,1.5
Rouxby Red,Vodka,269,6,simple syrup,.5 oz,0.5
Rosemary Clementine Sparkle,Vodka,270,1,orange juice,.25 oz,0.25
Rosemary Clementine Sparkle,Vodka,270,2,vodka,1.5 oz,1.5
Rosemary Clementine Sparkle,Vodka,270,3,lemon juice,.75 oz,0.75
Chapel Hill,Whiskies,271,1,bourbon whiskey,2 oz,2
Chapel Hill,Whiskies,271,2,triple sec,.5 oz,0.5
Chapel Hill,Whiskies,271,3,lemon juice,.5 oz,0.5
Robin's Nest,Vodka,272,1,vodka,1 oz,1
Robin's Nest,Vodka,272,2,cranberry juice,1 oz,1
Robin's Nest,Vodka,272,3,white creme de cacao,.5 oz,0.5
Chancellor Cocktail,Whiskies,273,1,blended scotch whiskey,1.5 oz,1.5
Chancellor Cocktail,Whiskies,273,2,dry vermouth,.5 oz,0.5
Chancellor Cocktail,Whiskies,273,4,bitters,1 dash,0.02
Carre Reprise,Whiskies,275,1,straight rye whiskey,1 oz,1
Carre Reprise,Whiskies,275,3,sweet vermouth,1 oz,1
Carre Reprise,Whiskies,275,5,bitters,1 dash,0.02
Gilroy Cocktail,Brandy,276,1,cherry flavored brandy,.75 oz,0.75
Gilroy Cocktail,Brandy,276,2,gin,.75 oz,0.75
Gilroy Cocktail,Brandy,276,3,dry vermouth,.5 oz,0.5
Gilroy Cocktail,Brandy,276,4,lemon juice,.5 oz,0.5
Gilroy Cocktail,Brandy,276,5,bitters,1 dash,0.02
Redhead Martini,Vodka,277,2,lemon juice,.75 oz,0.75
Redhead Martini,Vodka,277,3,simple syrup,.75 oz,0.75
Redhead Martini,Vodka,277,4,citrus flavored vodka,1.5 oz,1.5
Red Apple,Vodka,278,1,vodka,1.5 oz,1.5
Red Apple,Vodka,278,3,lemon juice,.5 oz,0.5
Red Apple,Vodka,278,4,grenadine,1 oz,1
Canal Street Daisy,Whiskies,279,1,blended scotch whiskey,1 oz,1
Canal Street Daisy,Whiskies,279,2,orange juice,1 oz,1
Canal Street Daisy,Whiskies,279,3,lemon juice,.75 oz,0.75
Canadian Cocktail,Whiskies,280,2,triple sec,.5 oz,0.5
Canadian Cocktail,Whiskies,280,3,simple syrup,.5 oz,0.5
Canadian Cocktail,Whiskies,280,4,bitters,1 dash,0.02
Purple Ruby,Vodka,281,1,vodka,1.5 oz,1.5
Purple Ruby,Vodka,281,3,grapefruit juice,.5 oz,0.5
Purple Ruby,Vodka,281,4,lime juice,.25 oz,0.25
Canadian Cherry,Whiskies,282,1,maraschino,1 oz,1
Canadian Cherry,Whiskies,282,4,lemon juice,.5 oz,0.5
Canadian Cherry,Whiskies,282,5,orange juice,.5 oz,0.5
Orange Smile,Cocktail Classics,283,2,orange juice,1 oz,1
Orange Smile,Cocktail Classics,283,3,grenadine,1 oz,1
Purple Passion Iced Tea,Vodka,284,1,vodka,.5 oz,0.5
Purple Passion Iced Tea,Vodka,284,2,light rum,.5 oz,0.5
Purple Passion Iced Tea,Vodka,284,3,gin,.5 oz,0.5
Purple Passion Iced Tea,Vodka,284,5,simple syrup,.5 oz,0.5
Purple Passion Iced Tea,Vodka,284,6,lemon juice,.75 oz,0.75
Canadian Breeze,Whiskies,285,2,pineapple juice,.75 oz,0.75
Canadian Breeze,Whiskies,285,3,lemon juice,.5 oz,0.5
Canadian Breeze,Whiskies,285,4,maraschino,.25 oz,0.25
Purple Passion,Vodka,286,1,vodka,1.5 oz,1.5
Purple Passion,Vodka,286,2,grapefruit juice,2 oz,2
Purple Passion,Vodka,286,4,simple syrup,.5 oz,0.5
Cameron's Kick Cocktail,Whiskies,287,1,blended scotch whiskey,.75 oz,0.75
Cameron's Kick Cocktail,Whiskies,287,3,lemon juice,.5 oz,0.5
Cameron's Kick Cocktail,Whiskies,287,4,bitters,2 dash,0.04
Georgia Mint Julep,Brandy,288,2,simple syrup,.25 oz,0.25
Georgia Mint Julep,Brandy,288,3,brandy,1.5 oz,1.5
California Lemonade,Whiskies,289,1,bourbon whiskey,2 oz,2
California Lemonade,Whiskies,289,2,lemon juice,1 oz,1
California Lemonade,Whiskies,289,3,lime juice,1 oz,1
California Lemonade,Whiskies,289,4,simple syrup,1 oz,1
California Lemonade,Whiskies,289,5,grenadine,.25 oz,0.25
Boston Side Car,Cocktail Classics,290,4,lime juice,.5 oz,0.5
Cablegram,Whiskies,291,1,bourbon whiskey,2 oz,2
Cablegram,Whiskies,291,2,lemon juice,1 oz,1
Cablegram,Whiskies,291,3,simple syrup,.5 oz,0.5
Bull And Bear,Whiskies,292,1,bourbon whiskey,1.5 oz,1.5
Bull And Bear,Whiskies,292,2,orange juice,.75 oz,0.75
Bull And Bear,Whiskies,292,3,lemon juice,1 oz,1
Bull And Bear,Whiskies,292,4,grenadine,.25 oz,0.25
Brooklyn,Whiskies,293,2,sweet vermouth,.5 oz,0.5
Brooklyn,Whiskies,293,4,maraschino,1 oz,1
Brighton Punch,Whiskies,294,1,bourbon whiskey,.75 oz,0.75
Brighton Punch,Whiskies,294,2,brandy,.75 oz,0.75
Brighton Punch,Whiskies,294,3,benedictine,.75 oz,0.75
Brighton Punch,Whiskies,294,4,orange juice,2 oz,2
Brighton Punch,Whiskies,294,5,lemon juice,1 oz,1
Bourbon Renewal,Whiskies,295,1,bourbon whiskey,2 oz,2
Bourbon Renewal,Whiskies,295,2,lemon juice,1 oz,1
Bourbon Renewal,Whiskies,295,4,simple syrup,.5 oz,0.5
Bourbon Renewal,Whiskies,295,5,bitters,1 dash,0.02
Bourbon Highball,Whiskies,296,1,bourbon whiskey,2 oz,2
Bourbon And Elder,Whiskies,297,1,bourbon whiskey,2 oz,2
Bourbon And Elder,Whiskies,297,3,bitters,1 dash,0.02
Bourbon Crusta,Whiskies,298,2,bourbon whiskey,2 oz,2
Bourbon Crusta,Whiskies,298,3,triple sec,.5 oz,0.5
Bourbon Crusta,Whiskies,298,4,maraschino,1 oz,1
Bourbon Crusta,Whiskies,298,6,bitters,2 dash,0.04
Bourbon Cooler,Whiskies,299,1,bourbon whiskey,2.5 oz,2.5
Bourbon Cooler,Whiskies,299,2,lemon juice,.5 oz,0.5
Bourbon Cooler,Whiskies,299,3,grapefruit juice,.5 oz,0.5
Froupe Cocktail,Brandy,300,1,brandy,1.5 oz,1.5
Froupe Cocktail,Brandy,300,2,sweet vermouth,1.5 oz,1.5
Froupe Cocktail,Brandy,300,3,benedictine,1 oz,1
Bourbon A La Creme,Whiskies,301,1,bourbon whiskey,2 oz,2
The Bone,Whiskies,302,1,bourbon whiskey,2 oz,2
The Bone,Whiskies,302,2,lime juice,.5 oz,0.5
The Bone,Whiskies,302,3,simple syrup,.5 oz,0.5
Bobby Burns Cocktail,Whiskies,303,1,blended scotch whiskey,1.5 oz,1.5
Bobby Burns Cocktail,Whiskies,303,2,sweet vermouth,1.5 oz,1.5
Bobby Burns Cocktail,Whiskies,303,3,benedictine,1 oz,1
Bloody Scotsman,Whiskies,304,5,lime juice,3 oz,3
Blood and Sand,Whiskies,306,1,blended scotch whiskey,.5 oz,0.5
Blood and Sand,Whiskies,306,2,cherry flavored brandy,.5 oz,0.5
Blood and Sand,Whiskies,306,3,sweet vermouth,.5 oz,0.5
Blood and Sand,Whiskies,306,4,orange juice,.5 oz,0.5
The Blinker,Whiskies,307,2,grapefruit juice,1.5 oz,1.5
Pike's Peak Cooler,Cocktail Classics,308,2,lemon juice,.5 oz,0.5
Pike's Peak Cooler,Cocktail Classics,308,3,powdered sugar,1 oz,1
Pike's Peak Cooler,Cocktail Classics,308,4,whole egg,1 oz,1
Blarney Stone Cocktail,Whiskies,309,2,anisette,.5 oz,0.5
Blarney Stone Cocktail,Whiskies,309,3,triple sec,.5 oz,0.5
Blarney Stone Cocktail,Whiskies,309,4,maraschino,.5 oz,0.5
Blarney Stone Cocktail,Whiskies,309,5,bitters,1 dash,0.02
Blarney Stone Cocktail,Whiskies,309,6,orange juice,1 oz,1
Pacman,Cocktail Classics,310,1,lemon juice,2 oz,2
Pacman,Cocktail Classics,310,2,grenadine,1 oz,1
Pacman,Cocktail Classics,310,3,bitters,1 dash,0.02
Lemonade (Golden),Cocktail Classics,311,1,lemon juice,1 oz,1
Lemonade (Golden),Cocktail Classics,311,2,powdered sugar,2 oz,2
Lemonade (Golden),Cocktail Classics,311,3,egg yolk,1 oz,1
Black Hawk,Whiskies,312,1,bourbon whiskey,1.5 oz,1.5
Lemonade (Egg),Cocktail Classics,313,1,lemon juice,1 oz,1
Lemonade (Egg),Cocktail Classics,313,2,powdered sugar,2 oz,2
Lemonade (Egg),Cocktail Classics,313,3,whole egg,1 oz,1
Bensonhurst,Whiskies,314,2,straight rye whiskey,2 oz,2
Bensonhurst,Whiskies,314,3,dry vermouth,1 oz,1
Bensonhurst,Whiskies,314,4,maraschino,.25 oz,0.25
Chocolate Daisy,Cocktail Classics,315,1,lemon juice,.5 oz,0.5
Chocolate Daisy,Cocktail Classics,315,2,powdered sugar,.5 oz,0.5
Chocolate Daisy,Cocktail Classics,315,3,grenadine,1 oz,1
Chocolate Daisy,Cocktail Classics,315,4,brandy,1.5 oz,1.5
Chocolate Daisy,Cocktail Classics,315,5,port,1.5 oz,1.5
French Quarter,Brandy,317,1,brandy,2 oz,2
Creme de Gin Cocktail,Cocktail Classics,318,1,gin,1.5 oz,1.5
